"ID"	"Label"	"Dataset"
1	"Value Added by Industry (A) (Q)"	"GDPbyIndustry"
5	"Value Added by Industry as a Percentage of Gross Domestic Product (A) (Q)"	"GDPbyIndustry"
6	"Components of Value Added by Industry (A)"	"GDPbyIndustry"
7	"Components of Value Added by Industry as a Percentage of Value Added (A)"	"GDPbyIndustry"
8	"Chain-Type Quantity Indexes for Value Added by Industry (A) (Q)"	"GDPbyIndustry"
9	"Percent Changes in Chain-Type Quantity Indexes for Value Added by Industry (A) (Q)"	"GDPbyIndustry"
10	"Real Value Added by Industry (A) (Q)"	"GDPbyIndustry"
11	"Chain-Type Price Indexes for Value Added by Industry (A) (Q)"	"GDPbyIndustry"
12	"Percent Changes in Chain-Type Price Indexes for Value Added by Industry (A) (Q)"	"GDPbyIndustry"
13	"Contributions to Percent Change in Real Gross Domestic Product by Industry (A) (Q)"	"GDPbyIndustry"
14	"Contributions to Percent Change in the Chain-Type Price Index for Gross Domestic Product by Industry (A) (Q)"	"GDPbyIndustry"
15	"Gross Output by Industry (A) (Q)"	"GDPbyIndustry"
16	"Chain-Type Quantity Indexes for Gross Output by Industry (A) (Q)"	"GDPbyIndustry"
17	"Percent Changes in Chain-Type Quantity Indexes for Gross Output by Industry (A) (Q)"	"GDPbyIndustry"
18	"Chain-Type Price Indexes for Gross Output by Industry (A) (Q)"	"GDPbyIndustry"
19	"Percent Changes in Chain-Type Price Indexes for Gross Output by Industry (A) (Q)"	"GDPbyIndustry"
20	"Intermediate Inputs by Industry (A) (Q)"	"GDPbyIndustry"
21	"Chain-Type Quantity Indexes for Intermediate Inputs by Industry (A) (Q)"	"GDPbyIndustry"
22	"Percent Changes in Chain-Type Quantity Indexes for Intermediate Inputs by Industry (A) (Q)"	"GDPbyIndustry"
23	"Chain-Type Price Indexes for Intermediate Inputs by Industry (A) (Q)"	"GDPbyIndustry"
24	"Percent Changes in Chain-Type Price Indexes for Intermediate Inputs by Industry (A) (Q)"	"GDPbyIndustry"
25	"Composition of Gross Output by Industry (A)"	"GDPbyIndustry"
26	"Shares of Gross Output by Industry (A)"	"GDPbyIndustry"
27	"Cost per Unit of Real Gross Output by Industry Group (A)"	"GDPbyIndustry"
29	"Contributions to Percent Change in Chain-Type Quantity Indexes for Gross Output by Industry Group (A)"	"GDPbyIndustry"
30	"Contributions to Percent Change in Chain-Type Price Indexes for Gross Output by Industry Group (A)"	"GDPbyIndustry"
31	"Chain-Type Quantity Indexes for Energy Inputs by Industry (A)"	"GDPbyIndustry"
32	"Contributions to Percent Change by Industry in the Chain-Type Quantity Index for All Industries Energy Inputs (A)"	"GDPbyIndustry"
33	"Chain-Type Price Indexes for Energy Inputs by Industry (A)"	"GDPbyIndustry"
34	"Contributions to Percent Change by Industry in the Chain-Type Price Index for All Industries Energy Inputs (A)"	"GDPbyIndustry"
35	"Chain-Type Quantity Indexes for Materials Inputs by Industry (A)"	"GDPbyIndustry"
36	"Contributions to Percent Change by Industry in the Chain-Type Quantity Index for All Industries Materials Inputs (A)"	"GDPbyIndustry"
37	"Chain-Type Price Indexes for Materials Inputs by Industry (A)"	"GDPbyIndustry"
38	"Contributions to Percent Change by Industry in the Chain-Type Price Index for All Industries Materials Inputs (A)"	"GDPbyIndustry"
39	"Chain-Type Quantity Indexes for Purchased Service Inputs by Industry (A)"	"GDPbyIndustry"
40	"Contributions to Percent Change by Industry in the Chain-Type Quantity Index for All Industries Purchased Service Inputs (A)"	"GDPbyIndustry"
41	"Chain-Type Price Indexes for Purchased Service Inputs by Industry (A)"	"GDPbyIndustry"
42	"Contributions to Percent Change by Industry in the Chain-Type Price Index for All Industries Purchased Service Inputs (A)"	"GDPbyIndustry"
1	"Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product (A) (Q)"	"NIPA"
2	"Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product (A) (Q)"	"NIPA"
3	"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes (A) (Q)"	"NIPA"
4	"Table 1.1.4. Price Indexes for Gross Domestic Product (A) (Q)"	"NIPA"
5	"Table 1.1.5. Gross Domestic Product (A) (Q)"	"NIPA"
6	"Table 1.1.6. Real Gross Domestic Product, Chained Dollars (A) (Q)"	"NIPA"
7	"Table 1.1.6A. Real Gross Domestic Product, Chained (1937) Dollars (A)"	"NIPA"
8	"Table 1.1.6B. Real Gross Domestic Product, Chained (1952) Dollars (A) (Q)"	"NIPA"
9	"Table 1.1.6C. Real Gross Domestic Product, Chained (1972) Dollars (A) (Q)"	"NIPA"
10	"Table 1.1.6D. Real Gross Domestic Product, Chained (1992) Dollars (A) (Q)"	"NIPA"
11	"Table 1.1.7. Percent Change From Preceding Period in Prices for Gross Domestic Product (A) (Q)"	"NIPA"
12	"Table 1.1.8. Contributions to Percent Change in the Gross Domestic Product Price Index (A) (Q)"	"NIPA"
13	"Table 1.1.9. Implicit Price Deflators for Gross Domestic Product (A) (Q)"	"NIPA"
14	"Table 1.1.10. Percentage Shares of Gross Domestic Product (A) (Q)"	"NIPA"
15	"Table 1.2.1. Percent Change From Preceding Period in Real Gross Domestic Product by Major Type of Product (A) (Q)"	"NIPA"
16	"Table 1.2.2. Contributions to Percent Change in Real Gross Domestic Product by Major Type of Product (A) (Q)"	"NIPA"
17	"Table 1.2.3. Real Gross Domestic Product by Major Type of Product, Quantity Indexes (A) (Q)"	"NIPA"
18	"Table 1.2.4. Price Indexes for Gross Domestic Product by Major Type of Product (A) (Q)"	"NIPA"
19	"Table 1.2.5. Gross Domestic Product by Major Type of Product (A) (Q)"	"NIPA"
20	"Table 1.2.6. Real Gross Domestic Product by Major Type of Product, Chained Dollars (A) (Q)"	"NIPA"
21	"Table 1.3.1. Percent Change From Preceding Period in Real Gross Value Added by Sector (A) (Q)"	"NIPA"
22	"Table 1.3.3. Real Gross Value Added by Sector, Quantity Indexes (A) (Q)"	"NIPA"
23	"Table 1.3.4. Price Indexes for Gross Value Added by Sector (A) (Q)"	"NIPA"
24	"Table 1.3.5. Gross Value Added by Sector (A) (Q)"	"NIPA"
25	"Table 1.3.6. Real Gross Value Added by Sector, Chained Dollars (A) (Q)"	"NIPA"
26	"Table 1.4.1. Percent Change From Preceding Period in Real Gross Domestic Product, Real Gross Domestic Purchases, and Real Final Sales to Domestic Purchasers (A) (Q)"	"NIPA"
27	"Table 1.4.3. Real Gross Domestic Product, Real Gross Domestic Purchases, and Real Final Sales to Domestic Purchasers, Quantity Indexes (A) (Q)"	"NIPA"
28	"Table 1.4.4. Price Indexes for Gross Domestic Product, Gross Domestic Purchases, and Final Sales to Domestic Purchasers (A) (Q)"	"NIPA"
29	"Table 1.4.5. Relation of Gross Domestic Product, Gross Domestic Purchases, and Final Sales to Domestic Purchasers (A) (Q)"	"NIPA"
30	"Table 1.4.6. Relation of Real Gross Domestic Product, Real Gross Domestic Purchases, and Real Final Sales to Domestic Purchasers, Chained Dollars (A) (Q)"	"NIPA"
31	"Table 1.5.1. Percent Change From Preceding Period in Real Gross Domestic Product, Expanded Detail (A) (Q)"	"NIPA"
32	"Table 1.5.2. Contributions to Percent Change in Real Gross Domestic Product, Expanded Detail (A) (Q)"	"NIPA"
33	"Table 1.5.3. Real Gross Domestic Product, Expanded Detail, Quantity Indexes (A) (Q)"	"NIPA"
34	"Table 1.5.4. Price Indexes for Gross Domestic Product, Expanded Detail (A) (Q)"	"NIPA"
35	"Table 1.5.5. Gross Domestic Product, Expanded Detail (A) (Q)"	"NIPA"
36	"Table 1.5.6. Real Gross Domestic Product, Expanded Detail, Chained Dollars (A) (Q)"	"NIPA"
37	"Table 1.6.4. Price Indexes for Gross Domestic Purchases (A) (Q)"	"NIPA"
38	"Table 1.6.7. Percent Change From Preceding Period in Prices for Gross Domestic Purchases (A) (Q)"	"NIPA"
39	"Table 1.6.8. Contributions to Percent Change in the Gross Domestic Purchases Price Index (A) (Q)"	"NIPA"
40	"Table 1.7.1. Percent Change from Preceding Period in Real Gross Domestic Product, Real Gross National Product, and Real Net National Product (A) (Q)"	"NIPA"
41	"Table 1.7.3. Real Gross Domestic Product, Real Gross National Product, and Real Net National Product, Quantity Indexes (A) (Q)"	"NIPA"
42	"Table 1.7.4. Price Indexes for Gross Domestic Product, Gross National Product, and Net National Product (A) (Q)"	"NIPA"
43	"Table 1.7.5. Relation of Gross Domestic Product, Gross National Product, Net National Product, National Income, and Personal Income (A) (Q)"	"NIPA"
44	"Table 1.7.6. Relation of Real Gross Domestic Product, Real Gross National Product, and Real Net National Product, Chained Dollars (A) (Q)"	"NIPA"
45	"Table 1.8.3. Command-Basis Real Gross Domestic Product and Gross National Product, Quantity Indexes (A) (Q)"	"NIPA"
46	"Table 1.8.6. Command-Basis Real Gross Domestic Product and Gross National Product, Chained Dollars (A) (Q)"	"NIPA"
47	"Table 1.9.3. Real Net Value Added by Sector, Quantity Indexes (A)"	"NIPA"
48	"Table 1.9.4. Price Indexes for Net Value Added by Sector (A)"	"NIPA"
49	"Table 1.9.5. Net Value Added by Sector (A)"	"NIPA"
50	"Table 1.9.6. Real Net Value Added by Sector, Chained Dollars (A)"	"NIPA"
51	"Table 1.10. Gross Domestic Income by Type of Income (A) (Q)"	"NIPA"
52	"Table 1.11. Percentage Shares of Gross Domestic Income (A)"	"NIPA"
53	"Table 1.12. National Income by Type of Income (A) (Q)"	"NIPA"
54	"Table 1.13. National Income by Sector, Legal Form of Organization, and Type of Income (A)"	"NIPA"
55	"Table 1.14. Gross Value Added of Domestic Corporate Business in Current Dollars and Gross Value Added of Nonfinancial Domestic Corporate Business in Current and Chained Dollars (A) (Q)"	"NIPA"
56	"Table 1.15. Price, Costs, and Profit Per Unit of Real Gross Value Added of Nonfinancial Domestic Corporate Business (A) (Q)"	"NIPA"
57	"Table 1.16. Sources and Uses of Private Enterprise Income (A)"	"NIPA"
58	"Table 2.1. Personal Income and Its Disposition (A) (Q)"	"NIPA"
59	"Table 2.2A. Wages and Salaries by Industry (A) (Q)"	"NIPA"
60	"Table 2.2B. Wages and Salaries by Industry (A) (Q)"	"NIPA"
61	"Table 2.3.1. Percent Change From Preceding Period in Real Personal Consumption Expenditures by Major Type of Product (A) (Q)"	"NIPA"
62	"Table 2.3.2. Contributions to Percent Change in Real Personal Consumption Expenditures by Major Type of Product (A) (Q)"	"NIPA"
63	"Table 2.3.3. Real Personal Consumption Expenditures by Major Type of Product, Quantity Indexes (A) (Q)"	"NIPA"
64	"Table 2.3.4. Price Indexes for Personal Consumption Expenditures by Major Type of Product (A) (Q)"	"NIPA"
65	"Table 2.3.5. Personal Consumption Expenditures by Major Type of Product (A) (Q)"	"NIPA"
66	"Table 2.3.6. Real Personal Consumption Expenditures by Major Type of Product, Chained Dollars (A) (Q)"	"NIPA"
67	"Table 2.3.7. Percent Change from Preceding Period in Prices for Personal Consumption Expenditures by Major Type of Product (A) (Q)"	"NIPA"
68	"Table 2.4.3. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes (A)"	"NIPA"
69	"Table 2.4.4. Price Indexes for Personal Consumption Expenditures by Type of Product (A)"	"NIPA"
70	"Table 2.4.5. Personal Consumption Expenditures by Type of Product (A)"	"NIPA"
71	"Table 2.4.6. Real Personal Consumption Expenditures by Type of Product, Chained Dollars (A)"	"NIPA"
72	"Table 2.5.3. Real Personal Consumption Expenditures by Function, Quantity Indexes (A)"	"NIPA"
73	"Table 2.5.4. Price Indexes for Personal Consumption Expenditures by Function (A)"	"NIPA"
74	"Table 2.5.5. Personal Consumption Expenditures by Function (A)"	"NIPA"
75	"Table 2.5.6. Real Personal Consumption Expenditures by Function, Chained Dollars (A)"	"NIPA"
76	"Table 2.6. Personal Income and Its Disposition, Monthly (M)"	"NIPA"
77	"Table 2.7A. Wages and Salaries by Industry, Monthly (M)"	"NIPA"
78	"Table 2.7B. Wages and Salaries by Industry, Monthly (M)"	"NIPA"
79	"Table 2.8.1. Percent Change From Preceding Period in Real Personal Consumption Expenditures by Major Type of Product, Monthly (M)"	"NIPA"
80	"Table 2.8.3. Real Personal Consumption Expenditures by Major Type of Product, Monthly, Quantity Indexes (M)"	"NIPA"
81	"Table 2.8.4. Price Indexes for Personal Consumption Expenditures by Major Type of Product, Monthly (M)"	"NIPA"
82	"Table 2.8.5. Personal Consumption Expenditures by Major Type of Product, Monthly (M)"	"NIPA"
83	"Table 2.8.6. Real Personal Consumption Expenditures by Major Type of Product, Monthly, Chained Dollars (M)"	"NIPA"
84	"Table 2.8.7. Percent Change from Preceding Period in Prices for Personal Consumption Expenditures by Major Type of Product, Monthly (M)"	"NIPA"
85	"Table 2.9. Personal Income and Its Disposition by Households and by Nonprofit Institutions Serving Households (A)"	"NIPA"
86	"Table 3.1. Government Current Receipts and Expenditures (A) (Q)"	"NIPA"
87	"Table 3.2. Federal Government Current Receipts and Expenditures (A) (Q)"	"NIPA"
88	"Table 3.3. State and Local Government Current Receipts and Expenditures (A) (Q)"	"NIPA"
89	"Table 3.4. Personal Current Tax Receipts (A)"	"NIPA"
90	"Table 3.5. Taxes on Production and Imports (A)"	"NIPA"
91	"Table 3.6. Contributions for Government Social Insurance (A)"	"NIPA"
92	"Table 3.7. Government Current Transfer Receipts (A)"	"NIPA"
93	"Table 3.8. Current Surplus of Government Enterprises (A)"	"NIPA"
94	"Table 3.9.1. Percent Change From Preceding Period in Real Government Consumption Expenditures and Gross Investment (A) (Q)"	"NIPA"
95	"Table 3.9.2. Contributions to Percent Change in Real Government Consumption Expenditures and Gross Investment (A) (Q)"	"NIPA"
96	"Table 3.9.3. Real Government Consumption Expenditures and Gross Investment, Quantity Indexes (A) (Q)"	"NIPA"
97	"Table 3.9.4. Price Indexes for Government Consumption Expenditures and Gross Investment (A) (Q)"	"NIPA"
98	"Table 3.9.5. Government Consumption Expenditures and Gross Investment (A) (Q)"	"NIPA"
99	"Table 3.9.6. Real Government Consumption Expenditures and Gross Investment, Chained Dollars (A) (Q)"	"NIPA"
100	"Table 3.10.1. Percent Change From Preceding Period in Real Government Consumption Expenditures and General Government Gross Output (A) (Q)"	"NIPA"
101	"Table 3.10.3. Real Government Consumption Expenditures and General Government Gross Output, Quantity Indexes (A) (Q)"	"NIPA"
102	"Table 3.10.4. Price Indexes for Government Consumption Expenditures and General Government Gross Output (A) (Q)"	"NIPA"
103	"Table 3.10.5. Government Consumption Expenditures and General Government Gross Output (A) (Q)"	"NIPA"
104	"Table 3.10.6. Real Government Consumption Expenditures and General Government Gross Output, Chained Dollars (A) (Q)"	"NIPA"
105	"Table 3.11.1. Percent Change From Preceding Period in Real National Defense Consumption Expenditures and Gross Investment by Type (A) (Q)"	"NIPA"
106	"Table 3.11.3. Real National Defense Consumption Expenditures and Gross Investment by Type, Quantity Indexes (A) (Q)"	"NIPA"
107	"Table 3.11.4. Price Indexes for National Defense Consumption Expenditures and Gross Investment by Type (A) (Q)"	"NIPA"
108	"Table 3.11.5. National Defense Consumption Expenditures and Gross Investment by Type (A) (Q)"	"NIPA"
109	"Table 3.11.6. Real National Defense Consumption Expenditures and Gross Investment by Type, Chained Dollars (A) (Q)"	"NIPA"
110	"Table 3.12. Government Social Benefits (A)"	"NIPA"
111	"Table 3.13. Subsidies (A)"	"NIPA"
112	"Table 3.14. Government Social Insurance Funds Current Receipts and Expenditures (A)"	"NIPA"
113	"Table 3.15.1. Percent Change From Preceding Period in Real Government Consumption Expenditures and Gross Investment by Function (A)"	"NIPA"
114	"Table 3.15.2. Contributions to Percent Change in Real Government Consumption Expenditures and Gross Investment by Function (A)"	"NIPA"
115	"Table 3.15.3. Real Government Consumption Expenditures and Gross Investment by Function, Quantity Indexes (A)"	"NIPA"
116	"Table 3.15.4. Price Indexes for Government Consumption Expenditures and Gross Investment by Function (A)"	"NIPA"
117	"Table 3.15.5. Government Consumption Expenditures and Gross Investment by Function (A)"	"NIPA"
118	"Table 3.15.6. Real Government Consumption Expenditures and Gross Investment by Function, Chained Dollars (A)"	"NIPA"
119	"Table 3.16. Government Current Expenditures by Function (A)"	"NIPA"
120	"Table 3.17. Selected Government Current and Capital Expenditures by Function (A)"	"NIPA"
121	"Table 3.18A. Relation of Federal Government Current Receipts and Expenditures in the National Income and Product Accounts to the Consolidated Cash Statement, Fiscal Years and Quarters (A) (Q)"	"NIPA"
122	"Table 3.18B. Relation of Federal Government Current Receipts and Expenditures in the National Income and Product Accounts to the Budget, Fiscal Years and Quarters (A) (Q)"	"NIPA"
123	"Table 3.19. Relation of State and Local Government Current Receipts and Expenditures in the National Income and Product Accounts to Census Bureau \"Government Finances\" Data, Fiscal Years (A)"	"NIPA"
124	"Table 3.20. State Government Current Receipts and Expenditures (A)"	"NIPA"
125	"Table 3.21. Local Government Current Receipts and Expenditures (A)"	"NIPA"
126	"Table 3.22. Federal Government Current Receipts and Expenditures, Not Seasonally Adjusted (Q)"	"NIPA"
127	"Table 3.23. State and Local Government Current Receipts and Expenditures, Not Seasonally Adjusted (Q)"	"NIPA"
128	"Table 4.1. Foreign Transactions in the National Income and Product Accounts (A) (Q)"	"NIPA"
129	"Table 4.2.1. Percent Change From Preceding Period in Real Exports and in Real Imports of Goods and Services by Type of Product (A) (Q)"	"NIPA"
130	"Table 4.2.2. Contributions to Percent Change in Real Exports and in Real Imports of Goods and Services by Type of Product (A) (Q)"	"NIPA"
131	"Table 4.2.3. Real Exports and Imports of Goods and Services by Type of Product, Quantity Indexes (A) (Q)"	"NIPA"
132	"Table 4.2.4. Price Indexes for Exports and Imports of Goods and Services by Type of Product (A) (Q)"	"NIPA"
133	"Table 4.2.5. Exports and Imports of Goods and Services by Type of Product (A) (Q)"	"NIPA"
134	"Table 4.2.6. Real Exports and Imports of Goods and Services by Type of Product, Chained Dollars (A) (Q)"	"NIPA"
135	"Table 4.3A. Relation of Foreign Transactions in the National Income and Product Accounts to the Corresponding Items in the International Transactions Accounts (A)"	"NIPA"
136	"Table 4.3B. Relation of Foreign Transactions in the National Income and Product Accounts to the Corresponding Items in the International Transactions Accounts (A)"	"NIPA"
137	"Table 5.1. Saving and Investment by Sector (A) (Q)"	"NIPA"
138	"Table 5.2.3. Real Gross and Net Domestic Investment by Major Type, Quantity Indexes (A)"	"NIPA"
139	"Table 5.2.5. Gross and Net Domestic Investment by Major Type (A)"	"NIPA"
140	"Table 5.2.6. Real Gross and Net Domestic Investment by Major Type, Chained Dollars (A)"	"NIPA"
141	"Table 5.3.1. Percent Change From Preceding Period in Real Private Fixed Investment by Type (A) (Q)"	"NIPA"
142	"Table 5.3.2. Contributions to Percent Change in Real Private Fixed Investment by Type (A) (Q)"	"NIPA"
143	"Table 5.3.3. Real Private Fixed Investment by Type, Quantity Indexes (A) (Q)"	"NIPA"
144	"Table 5.3.4. Price Indexes for Private Fixed Investment by Type (A) (Q)"	"NIPA"
145	"Table 5.3.5. Private Fixed Investment by Type (A) (Q)"	"NIPA"
146	"Table 5.3.6. Real Private Fixed Investment by Type, Chained Dollars (A) (Q)"	"NIPA"
147	"Table 5.4.1. Percent Change From Preceding Period in Real Private Fixed Investment in Structures by Type (A)"	"NIPA"
148	"Table 5.4.2. Contributions to Percent Change in Real Private Fixed Investment in Structures by Type (A)"	"NIPA"
149	"Table 5.4.3. Real Private Fixed Investment in Structures by Type, Quantity Indexes (A)"	"NIPA"
150	"Table 5.4.4. Price Indexes for Private Fixed Investment in Structures by Type (A)"	"NIPA"
151	"Table 5.4.5. Private Fixed Investment in Structures by Type (A)"	"NIPA"
152	"Table 5.4.6. Real Private Fixed Investment in Structures by Type, Chained Dollars (A)"	"NIPA"
153	"Table 5.5.1. Percent Change From Preceding Period in Real Private Fixed Investment in Equipment by Type (A)"	"NIPA"
154	"Table 5.5.2. Contributions to Percent Change in Real Private Fixed Investment in Equipment by Type (A)"	"NIPA"
155	"Table 5.5.3. Real Private Fixed Investment in Equipment by Type, Quantity Indexes (A)"	"NIPA"
156	"Table 5.5.4. Price Indexes for Private Fixed Investment in Equipment by Type (A)"	"NIPA"
157	"Table 5.5.5. Private Fixed Investment in Equipment by Type (A)"	"NIPA"
158	"Table 5.5.6. Real Private Fixed Investment in Equipment by Type, Chained Dollars (A)"	"NIPA"
163	"Table 5.7.5A. Change in Private Inventories by Industry (A) (Q)"	"NIPA"
164	"Table 5.7.5B. Change in Private Inventories by Industry (A) (Q)"	"NIPA"
165	"Table 5.7.6A. Change in Real Private Inventories by Industry, Chained Dollars (A) (Q)"	"NIPA"
166	"Table 5.7.6B. Change in Real Private Inventories by Industry, Chained Dollars (A) (Q)"	"NIPA"
173	"Table 5.8.5A. Private Inventories and Domestic Final Sales of Business by Industry (Q)"	"NIPA"
174	"Table 5.8.5B. Private Inventories and Domestic Final Sales by Industry (Q)"	"NIPA"
175	"Table 5.8.6A. Real Private Inventories and Real Domestic Final Sales of Business by Industry, Chained Dollars (Q)"	"NIPA"
176	"Table 5.8.6B. Real Private Inventories and Real Domestic Final Sales by Industry, Chained Dollars (Q)"	"NIPA"
178	"Table 5.10. Changes in Net Stock of Produced Assets (Fixed Assets and Inventories) (A)"	"NIPA"
179	"Table 6.1B. National Income Without Capital Consumption Adjustment by Industry (A) (Q)"	"NIPA"
180	"Table 6.1C. National Income Without Capital Consumption Adjustment by Industry (A) (Q)"	"NIPA"
181	"Table 6.1D. National Income Without Capital Consumption Adjustment by Industry (A) (Q)"	"NIPA"
182	"Table 6.2A. Compensation of Employees by Industry (A)"	"NIPA"
183	"Table 6.2B. Compensation of Employees by Industry (A)"	"NIPA"
184	"Table 6.2C. Compensation of Employees by Industry (A)"	"NIPA"
185	"Table 6.2D. Compensation of Employees by Industry (A)"	"NIPA"
186	"Table 6.3A. Wages and Salaries by Industry (A)"	"NIPA"
187	"Table 6.3B. Wages and Salaries by Industry (A)"	"NIPA"
188	"Table 6.3C. Wages and Salaries by Industry (A)"	"NIPA"
189	"Table 6.3D. Wages and Salaries by Industry (A)"	"NIPA"
190	"Table 6.4A. Full-Time and Part-Time Employees by Industry (A)"	"NIPA"
191	"Table 6.4B. Full-Time and Part-Time Employees by Industry (A)"	"NIPA"
192	"Table 6.4C. Full-Time and Part-Time Employees by Industry (A)"	"NIPA"
193	"Table 6.4D. Full-Time and Part-Time Employees by Industry (A)"	"NIPA"
194	"Table 6.5A. Full-Time Equivalent Employees by Industry (A)"	"NIPA"
195	"Table 6.5B. Full-Time Equivalent Employees by Industry (A)"	"NIPA"
196	"Table 6.5C. Full-Time Equivalent Employees by Industry (A)"	"NIPA"
197	"Table 6.5D. Full-Time Equivalent Employees by Industry (A)"	"NIPA"
198	"Table 6.6A. Wages and Salaries Per Full-Time Equivalent Employee by Industry (A)"	"NIPA"
199	"Table 6.6B. Wages and Salaries Per Full-Time Equivalent Employee by Industry (A)"	"NIPA"
200	"Table 6.6C. Wages and Salaries Per Full-Time Equivalent Employee by Industry (A)"	"NIPA"
201	"Table 6.6D. Wages and Salaries Per Full-Time Equivalent Employee by Industry (A)"	"NIPA"
202	"Table 6.7A. Self-Employed Persons by Industry (A)"	"NIPA"
203	"Table 6.7B. Self-Employed Persons by Industry (A)"	"NIPA"
204	"Table 6.7C. Self-Employed Persons by Industry (A)"	"NIPA"
205	"Table 6.7D. Self-Employed Persons by Industry (A)"	"NIPA"
206	"Table 6.8A. Persons Engaged in Production by Industry (A)"	"NIPA"
207	"Table 6.8B. Persons Engaged in Production by Industry (A)"	"NIPA"
208	"Table 6.8C. Persons Engaged in Production by Industry (A)"	"NIPA"
209	"Table 6.8D. Persons Engaged in Production by Industry (A)"	"NIPA"
210	"Table 6.9B. Hours Worked by Full-Time and Part-Time Employees by Industry (A)"	"NIPA"
211	"Table 6.9C. Hours Worked by Full-Time and Part-Time Employees by Industry (A)"	"NIPA"
212	"Table 6.9D. Hours Worked by Full-Time and Part-Time Employees by Industry (A)"	"NIPA"
213	"Table 6.10B. Employer Contributions for Government Social Insurance by Industry (A)"	"NIPA"
214	"Table 6.10C. Employer Contributions for Government Social Insurance by Industry (A)"	"NIPA"
215	"Table 6.10D. Employer Contributions for Government Social Insurance by Industry (A)"	"NIPA"
216	"Table 6.11A. Employer Contributions for Employee Pension and Insurance Funds by Industry and by Type (A)"	"NIPA"
