"ID"	"Title"	"Context"
"AF001EW"	"Members of the Armed Forces by residence type by sex by age"	"Census"
"AF002EW"	"Household Reference Persons (HRPs) who are members of the Armed Forces and  associated persons in households with members of the Armed Forces by sex by age"	"Census"
"AF003EW"	"Economic activity of associated people in households with members of the Armed Forces by sex"	"Census"
"AF004EW"	"Members of the Armed Forces by workplace address by sex by age"	"Census"
"AF005EW"	"Members of the Armed Forces by ethnic group by sex"	"Census"
"AF006EW"	"Members of the Foreign Armed Forces by sex by age"	"Census"
"AP1101EW"	"Sex by five-year age group (non-UK born short-term residents)"	"Census"
"AP1102EW"	"Sex by single year of age (non-UK born short-term residents)"	"Census"
"AP1201EW"	"Country of birth (non-UK born short-term residents)"	"Census"
"AP1202EW"	"Passports held (detailed) (non-UK born short-term residents)"	"Census"
"AP1601EW"	"Economic activity (non-UK born short-term residents)"	"Census"
"CT0010"	"Ethnic group (write-in responses)"	"Census"
"CT0065"	"Proficiency in English by year of arrival in the UK by country of birth by age (national)"	"Census"
"CT0066"	"Proficiency in English by year of arrival in the UK by passports held (national)"	"Census"
"CT0067"	"General health by year of arrival in the UK by country of birth by age (national)"	"Census"
"CT0068"	"General health by year of arrival in the UK by passports held by age (national)"	"Census"
"CT0069"	"Tenure by year of arrival in the UK by country of birth (national)"	"Census"
"CT0070"	"Tenure by year of arrival in the UK by passports held (national)"	"Census"
"CT0071"	"Highest level of qualification by year of arrival in the UK by country of birth by age (national)"	"Census"
"CT0072"	"Highest level of qualification by year of arrival in the UK by passports held by age (national)"	"Census"
"CT0073"	"Economic activity by year of arrival in the UK by country of birth (national)"	"Census"
"CT0074"	"Economic actvity by year of arrival in the UK by passports held (national)"	"Census"
"CT0075"	"Industry by year of arrival in the UK by country of birth (national)"	"Census"
"CT0076"	"Industry by year of arrival in the UK by passports held (national)"	"Census"
"CT0077"	"Occupation by year of arrival in the UK by country of birth (national)"	"Census"
"CT0078"	"Occupation by year of arrival in the UK by passports held (national)"	"Census"
"CT0144"	"Occupation (full) by industry (full) (national)"	"Census"
"CT0240"	"Usual residents aged 18 and over qualified to vote in the UK Parliamentary general elections"	"Census"
"DC1101EW"	"Marital and civil partnership status by sex by age - Household Reference Persons"	"Census"
"DC1102EW"	"Living arrangements by sex by age - Household Reference Persons"	"Census"
"DC1103WAla"	"Extended Welsh household composition by age of youngest dependent child"	"Census"
"DC1104EW"	"Residence type by sex by age"	"Census"
"DC1106EW"	"Schoolchildren and full-time students at their non term-time address by sex by age"	"Census"
"DC1107EW"	"Marital and civil partnership status by sex by age"	"Census"
"DC1108EW"	"Living arrangements by sex by age"	"Census"
"DC1109EW"	"Household composition by age by sex"	"Census"
"DC1110EWla"	"Concealed family status by family type by dependent children by age of Family Reference Person (FRP)"	"Census"
"DC1112EWla"	"Age of youngest dependent child by household type by sex by age"	"Census"
"DC1113EW"	"Age of youngest dependent child by household type"	"Census"
"DC1114EW"	"Dependent children by family type"	"Census"
"DC1115EW"	"Age of youngest dependent child by family type by marital status by age of Family Reference Person (FRP)"	"Census"
"DC1116EWla"	"Marital and civil partnership status by sex by age - Communal establishment residents"	"Census"
"DC1117EW"	"Sex by single year of age"	"Census"
"DC1118EW"	"Age of youngest dependent child by family type"	"Census"
"DC1201EW"	"Household composition by ethnic group of Household Reference Person (HRP)"	"Census"
"DC1202EW"	"Household composition by religion of Household Reference Person (HRP)"	"Census"
"DC1203EW"	"Dependent children by ethnic group of Household Reference Person (HRP) by age"	"Census"
"DC1301EW"	"Household composition by number of people in household with a long-term health problem or disability"	"Census"
"DC1401EW"	"Household composition by car or van availability"	"Census"
"DC1402EW"	"Household composition by number of bedrooms"	"Census"
"DC1601EWla"	"Family status by number of parents working by dependent children in family by economic activity"	"Census"
"DC1602EWla"	"Residence type by economic activity by age"	"Census"
"DC2101EW"	"Ethnic group by sex by age"	"Census"
"DC2102EW"	"National identity by sex by age"	"Census"
"DC2103EW"	"Country of birth by sex by age"	"Census"
"DC2104EW"	"Main language by sex by age"	"Census"
"DC2105EW"	"Proficiency in English by sex by age"	"Census"
"DC2106WAla"	"Welsh language skills by sex by age"	"Census"
"DC2107EW"	"Religion by sex by age"	"Census"
"DC2108EW"	"Passports held by sex by age"	"Census"
"DC2109EWr"	"Country of birth by sex by age (regional)"	"Census"
"DC2110EWr"	"Passports held by sex by age (regional)"	"Census"
"DC2112WAla"	"Extended Welsh household composition by ability to speak Welsh by age of dependent child"	"Census"
"DC2115WA"	"Family type by parents' ability to speak Welsh by age and ability to speak Welsh of dependent child"	"Census"
"DC2116EW"	"Ethnic group of dependent child by sex"	"Census"
"DC2117EWla"	"Ethnic group by sex by age - Communal establishment residents"	"Census"
"DC2118EWla"	"Country of birth by age - Communal establishment residents"	"Census"
"DC2119EWla"	"Passports held by sex by age - Communal establishment residents"	"Census"
"DC2121EW"	"Ethnic group by accommodation type"	"Census"
"DC2122EW"	"Country of birth by number of children in family"	"Census"
"DC2201EW"	"Ethnic group by religion"	"Census"
"DC2202EW"	"National identity by ethnic group"	"Census"
"DC2203WA"	"Ability to speak Welsh by national identity by sex by age"	"Census"
"DC2204EW"	"National identity by religion"	"Census"
"DC2205EW"	"Country of birth by ethnic group by sex"	"Census"
"DC2206WA"	"Welsh language skills by country of birth by sex by age"	"Census"
"DC2207EW"	"Country of birth by religion by sex"	"Census"
"DC2208EWr"	"Passports held by country of birth (regional)"	"Census"
"DC2209EWr"	"Country of birth by national identity (regional)"	"Census"
"DC2210EWr"	"Main language by proficiency in English (regional)"	"Census"
"DC2301EW"	"Ethnic group by provision of unpaid care by general health"	"Census"
"DC2302EWr"	"Proficiency in English by general health by sex by age (regional)"	"Census"
"DC2303EW"	"Proficiency in English by general health by sex by age"	"Census"
"DC2401WA"	"Number of people who can speak Welsh by household size"	"Census"
"DC2402WA"	"Ability to speak Welsh by tenure by age - Household Reference Person"	"Census"
"DC2403WA"	"Welsh language skills by tenure by age - Household Reference Persons"	"Census"
"DC2404WAla"	"Ability to speak Welsh by communal establishment management and type by position in communal establishment"	"Census"
"DC2405WAla"	"Welsh language skills by communal establishment management and type by position in communal establishment"	"Census"
"DC2501WAla"	"Highest level of qualification by Welsh language skills by age"	"Census"
"DC2601WA"	"Ability of dependent child in a family to speak Welsh by NS-SeC of Household Reference Person by Welsh household composition"	"Census"
"DC2602EW"	"Proficiency in English by occupation by sex by age"	"Census"
"DC2604EW"	"Proficiency in English by industry by economic activity"	"Census"
"DC2605WAla"	"Ability to speak Welsh by year last worked by age"	"Census"
"DC2606WAla"	"Ability of dependent child in a family to speak Welsh by Welsh household composition by approximated social grade of Household Reference Person (HRP)"	"Census"
"DC2607WAla"	"Welsh language skills by industry"	"Census"
"DC2608WAla"	"Welsh language skills by occupation"	"Census"
"DC2609WAla"	"Welsh language skills by NS-SeC"	"Census"
"DC2610WA"	"Ability to speak Welsh by year last worked"	"Census"
"DC2611WA"	"Ability to speak Welsh by industry"	"Census"
"DC2612WA"	"Ability to speak Welsh by occupation"	"Census"
"DC2613WA"	"Ability to speak Welsh by NS-SeC"	"Census"
"DC2801EW"	"Ethnic group by age of arrival in the UK"	"Census"
"DC2802EW"	"Country of birth by age of arrival in UK"	"Census"
"DC2803EW"	"Proficiency in English by age of arrival in the UK"	"Census"
"DC2804EWr"	"Country of birth by year of arrival in the UK (regional)"	"Census"
"DC2805EWr"	"Passports held by year of arrival in the UK (regional)"	"Census"
"DC2806EW"	"Passports held by age of arrival in the UK"	"Census"
"DC3201EW"	"Long-term health problem or disability by general health by ethnic group by sex by age"	"Census"
"DC3202WA"	"Welsh language skills by long-term health problem or disability by general health by sex by age"	"Census"
"DC3203EW"	"Long-term health problem or disability by general health by religion by sex by age"	"Census"
"DC3204EWr"	"General health by ethnic group by sex by age (regional)"	"Census"
"DC3205EWr"	"Long-term health problem or disability by ethnic group by sex by age (regional)"	"Census"
"DC3301EW"	"Provision of unpaid care by general health by sex by age"	"Census"
"DC3302EW"	"Long-term health problem or disability by general health by sex by age"	"Census"
"DC3303EWr"	"Provision of unpaid care by general health by sex by age (regional)"	"Census"
"DC3304EWla"	"Long-term health problem or disability by general health by age - Communal establishment residents"	"Census"
"DC3306EW"	"Provision of unpaid care by households with people with a long-term"	"Census"
"DC3401EWla"	"General health by communal establishment management and type by sex by age"	"Census"
"DC3402EWla"	"Long-term health problem or disability by communal establishment management and type by sex by age"	"Census"
"DC3403EW"	"General health by long-term health problem or disability by occupancy rating (rooms) by age"	"Census"
"DC3404EW"	"General health by long-term health problem or disability by occupancy rating (bedrooms) by age"	"Census"
"DC3405EW"	"General health by long-term health problem or disability by car or van availability by sex"	"Census"
"DC3407EW"	"Long-term health problem or disability by car or van availability by sex by age"	"Census"
"DC3408EW"	"Long-term health problem or disability by tenure by sex by age"	"Census"
"DC3409EW"	"General health by tenure by sex by age"	"Census"
"DC3601EW"	"General health by NS-SeC by sex by age"	"Census"
"DC3602EW"	"Long-term health problem or disability by NS-SeC by sex by age"	"Census"
"DC4101EW"	"Tenure by household composition"	"Census"
"DC4102EW"	"Number of bedrooms by accommodation type by age of dependent children"	"Census"
"DC4103EW"	"Number of bedrooms by tenure by age of dependent children"	"Census"
"DC4104EWla"	"Tenure by occupancy rating (rooms) by household composition"	"Census"
"DC4105EWla"	"Tenure by occupancy rating (bedrooms) by household composition"	"Census"
"DC4107EWla"	"Position in communal establishment by sex by age"	"Census"
"DC4109EWla"	"Car or van availability by sex by age"	"Census"
"DC4201EW"	"Tenure by ethnic group by age - Household Reference Persons"	"Census"
"DC4202EW"	"Tenure by car or van availability by ethnic group of Household Reference Person (HRP)"	"Census"
"DC4203EW"	"Tenure by car or van availability by ethnic group"	"Census"
"DC4204EW"	"Tenure by car or van availability by religion of Household Reference Person (HRP)"	"Census"
"DC4205EW"	"Dwelling type by type of central heating in household by occupancy rating (rooms) by ethnic group of Household Reference Person (HRP)"	"Census"
"DC4206EW"	"Dwelling type by type of central heating in household by occupancy rating (bedrooms) by ethnic group of Household Reference Person (HRP)"	"Census"
"DC4207EW"	"Dwelling type by type of central heating in household by occupancy rating (rooms) by religion of Household Reference Person (HRP)"	"Census"
"DC4208EW"	"Dwelling type by type of central heating in household by occupancy rating (bedrooms) by religion of Household Reference Person (HRP)"	"Census"
"DC4209EW"	"Number of persons per room in household by ethnic group of Household Reference Person (HRP)"	"Census"
"DC4210EWla"	"Communal establishment management and type by sex by age"	"Census"
"DC4211EWla"	"Communal establishment management and type by ethnic group by sex"	"Census"
"DC4402EW"	"Accommodation type by type of central heating in household by tenure"	"Census"
"DC4403EW"	"Accommodation type by household spaces"	"Census"
"DC4404EW"	"Tenure by household size by number of rooms"	"Census"
"DC4405EW"	"Tenure by household size by number of bedrooms"	"Census"
"DC4406EW"	"Tenure by number of persons per room in household by accommodation type"	"Census"
"DC4407EW"	"Tenure by number of persons per bedroom in household by accommodation type"	"Census"
"DC4408EW"	"Tenure by number of persons per bedroom in household by household type"	"Census"
"DC4409EWla"	"Communal establishment management and type by religion by sex"	"Census"
"DC4415EWla"	"Accommodation type by car or van availability by number of usual residents aged 17 or over in household"	"Census"
"DC4416EWla"	"Tenure by car or van availability by number of usual residents aged 17 or over in household"	"Census"
"DC4601EW"	"Tenure by economic activity by age - Household Reference Persons"	"Census"
"DC4602EWr"	"Tenure by industry by age - Household Reference Persons (regional)"	"Census"
"DC4604EW"	"Tenure by occupation by age - Household Reference Persons"	"Census"
"DC4605EW"	"Tenure by NS-SeC by age - Household Reference Persons"	"Census"
"DC4606EW"	"Tenure by number of bedrooms by occupation of Household Reference Person (HRP)"	"Census"
"DC4607EWr"	"Tenure by occupation by sex by age - Household Reference Persons (regional)"	"Census"
"DC4608EWr"	"Tenure by NS-SeC by sex by age - Household Reference Persons (regional)"	"Census"
"DC4801EWla"	"Communal establishment management and type by position in communal establishment by resident one year ago"	"Census"
"DC5101EWla"	"Highest level of qualification by sex by age - Communal establishment residents"	"Census"
"DC5102EW"	"Highest level of qualification by sex by age"	"Census"
"DC5103EW"	"Highest level of qualification by household composition"	"Census"
"DC5104EWla"	"Highest level of qualification by number of children by hours worked by sex"	"Census"
"DC5106EW"	"Highest level of qualification by family type"	"Census"
"DC5107EWla"	"Highest level of qualification by sex by age"	"Census"
"DC5202EW"	"Highest level of qualification by ethnic group by age"	"Census"
"DC5203EW"	"Highest level of qualification by country of birth by age"	"Census"
"DC5204EW"	"Highest level of qualification by religion by age"	"Census"
"DC5205EWr"	"Highest level of qualification by country of birth by age (regional)"	"Census"
"DC5206EW"	"Highest level of qualification by passports held by age"	"Census"
"DC5207EWr"	"Highest level of qualification by passports held by age (regional)"	"Census"
"DC5208EW"	"Highest level of qualification by main language"	"Census"
"DC5209EWla"	"Highest level of qualification by ethnic group"	"Census"
"DC5301EW"	"Highest level of qualification by long-term health problem or disability"	"Census"
"DC5601EWla"	"Highest level of qualification by economic activity by age"	"Census"
"DC5602EW"	"Highest level of qualification by economic activity of full-time students"	"Census"
"DC5603EWr"	"Highest level of qualification by economic activity by country of birth (regional)"	"Census"
"DC5604EWr"	"Highest level of qualification by economic activity by passports held (regional)"	"Census"
"DC5801EW"	"Highest level of qualification by year of arrival in the UK by sex by age"	"Census"
"DC5802EWla"	"Highest level of qualification by length of residence in the UK"	"Census"
"DC6101EW"	"NS-SeC by sex by age - Household Reference Persons"	"Census"
"DC6102EW"	"NS-SeC of Household Reference Person (HRP) by households with schoolchildren or full-time students living away during term-time"	"Census"
"DC6103EWla"	"Economic activity by sex by age - Communal establishment residents"	"Census"
"DC6104EWla"	"Industry by sex by age - Communal establishment residents"	"Census"
"DC6105EWla"	"Occupation by sex by age - Communal establishment residents"	"Census"
"DC6106EWla"	"NS-SeC by sex by age - Communal establishment residents"	"Census"
"DC6107EW"	"Economic activity by sex by age"	"Census"
"DC6108EW"	"Economic activity of full-time students by student accommodation by age"	"Census"
"DC6109EW"	"Hours worked by sex by age"	"Census"
"DC6110EW"	"Industry by sex by age"	"Census"
"DC6111EW"	"Former industry by sex by age"	"Census"
"DC6112EW"	"Occupation by sex by age"	"Census"
"DC6113EW"	"Former occupation by sex by age"	"Census"
"DC6114EW"	"NS-SeC by sex by age"	"Census"
"DC6115EW"	"NS-SeC of Household Reference Person by household composition by sex"	"Census"
"DC6116EW"	"Year last worked by sex by age"	"Census"
"DC6124EW"	"Approximated social grade by sex by age"	"Census"
"DC6125EW"	"Approximated social grade by adult lifestage"	"Census"
"DC6126EW"	"Approximated social grade by adult lifestage - Household Reference Persons"	"Census"
"DC6127EW"	"Approximated social grade by household composition"	"Census"
"DC6201EW"	"Economic activity by ethnic group by sex by age"	"Census"
"DC6203EW"	"Economic activity by country of birth by sex by age"	"Census"
"DC6204EW"	"Economic activity by passports held by sex by age"	"Census"
"DC6205EW"	"Economic activity by religion by sex by age"	"Census"
"DC6206EW"	"NS-SeC by ethnic group by sex by age"	"Census"
"DC6207EW"	"NS-SeC by religion by sex by age"	"Census"
"DC6208EWr"	"Economic activity by country of birth by sex by age (regional)"	"Census"
"DC6209EWr"	"Economic activity by passorts held by sex by age (regional)"	"Census"
"DC6210EW"	"Economic activity by country of birth"	"Census"
"DC6211EW"	"Industry by ethnic group by age"	"Census"
"DC6212EW"	"Industry by religion by age"	"Census"
"DC6213EW"	"Occupation by ethnic group by sex by age"	"Census"
"DC6214EW"	"Occupation by religion by sex by age"	"Census"
"DC6215EW"	"Economic activity by passports held"	"Census"
"DC6216EW"	"Industry by ethnic group by sex"	"Census"
"DC6217EW"	"Industry by religion by sex"	"Census"
"DC6218EW"	"Approximated social grade by country of birth"	"Census"
"DC6219EW"	"Approximated social grade by passports held"	"Census"
"DC6301EWla"	"Economic activity by provision of unpaid care by general health by sex"	"Census"
"DC6302EW"	"Economic activity and hours worked by long-term health problem or disability by sex"	"Census"
"DC6303EWr"	"NS-SeC by general health by sex by age (regional)"	"Census"
"DC6304EWr"	"NS-SeC by long-term health problem or disability by sex by age (regional)"	"Census"
"DC6401EW"	"Economic activity by living arrangements"	"Census"
"DC6403EW"	"Approximated social grade by tenure by car or van availability"	"Census"
"DC6501EWla"	"Occupation by highest level of qualification by age"	"Census"
"DC6502EWla"	"NS-SeC by highest level of qualification by age"	"Census"
"DC6503EWla"	"Industry by highest level of qualification by age"	"Census"
"DC6601EW"	"Occupation by economic activity by sex"	"Census"
"DC6602EW"	"Industry by economic activity"	"Census"
"DC6603EW"	"Occupation by economic activity by age"	"Census"
"DC6604EW"	"Occupation by industry"	"Census"
"DC6605EW"	"Occupation by hours worked by sex"	"Census"
"DC6606EW"	"NS-SeC by economic activity by sex"	"Census"
"DC6607EWla"	"Home-worker by economic activity by sex by age"	"Census"
"DC6608EWla"	"Home-worker by industry by sex by age"	"Census"
"DC6609EWla"	"Home-worker by occupation by sex by age"	"Census"
"DC7101EWla"	"Method of travel to work (2001 specification) by sex by age"	"Census"
"DC7102EWla"	"Distance travelled to work by sex by age"	"Census"
"DC7201EWla"	"Method of travel to work (2001 specification) by ethnic group"	"Census"
"DC7202EWla"	"Distance travelled to work by ethnic group"	"Census"
"DC7401EWla"	"Method of travel to work (2001 specification) by car or van availability"	"Census"
"DC7402EWla"	"Distance travelled to work by car or van availability"	"Census"
"DC7501EWla"	"Method of travel to work (2001 specification) by highest level of qualification by sex"	"Census"
"DC7502EWla"	"Distance travelled to work by highest level of qualification by sex"	"Census"
"DC7601EWla"	"Method of travel to work (2001 specification) by hours worked by sex"	"Census"
"DC7602EWla"	"Method of travel to work (2001 specification) by industry"	"Census"
"DC7603EWla"	"Method of travel to work (2001 specification) by occupation by sex"	"Census"
"DC7604EWla"	"Method of travel to work (2001 specification) by NS-SeC by sex"	"Census"
"DC7605EWla"	"Distance travelled to work by hours worked by sex"	"Census"
"DC7606EWla"	"Distance travelled to work by industry"	"Census"
"DC7607EWla"	"Distance travelled to work by occupation by sex"	"Census"
"DC7608EWla"	"Distance travelled to work by NS-SeC by sex"	"Census"
"DC7701EWla"	"Method of travel to work (2001 specification) by distance travelled to work"	"Census"
"KS101EW"	"Usual resident population"	"Census"
"KS103EW"	"Marital and civil partnership status"	"Census"
"KS104EW"	"Living Arrangements"	"Census"
"KS201EW"	"Ethnic group"	"Census"
"KS202EW"	"National identity"	"Census"
"KS204EW"	"Country of birth"	"Census"
"LC1101EW"	"Marital and civil partnership status by sex by age - Household Reference Persons"	"Census"
"LC1102EW"	"Living arrangements by age - Household Reference Persons"	"Census"
"LC1103WA"	"Welsh household composition by age of youngest dependent child"	"Census"
"LC1104EW"	"Residence type by age"	"Census"
"LC1105EW"	"Residence type by sex by age"	"Census"
"LC1106EW"	"Schoolchildren and full-time students at their non term-time address by sex by age"	"Census"
"LC1107EW"	"Marital and civil partnership status by sex by age"	"Census"
"LC1108EW"	"Living arrangements by sex by age"	"Census"
"LC1109EW"	"Household composition by age by sex"	"Census"
"LC1110EW"	"Concealed family status by family type by dependent children by age of Family Reference Person (FRP)"	"Census"
"LC1112EW"	"Age of youngest dependent child by household type by sex"	"Census"
"LC1113EW"	"Age of youngest dependent child by household type"	"Census"
"LC1114EW"	"Dependent children by family type"	"Census"
"LC1115EW"	"Age of youngest dependent child by family type by age of Family Reference Person (FRP)"	"Census"
"LC1117EW"	"Sex by single year of age"	"Census"
"LC1118EW"	"Age of youngest dependent child by family type"	"Census"
"LC1201EW"	"Household composition by ethnic group of Household Reference Person (HRP)"	"Census"
"LC1202EW"	"Household composition by religion of Household Reference Person (HRP)"	"Census"
"LC1203EW"	"Dependent children by ethnic group of Household Reference Person (HRP) by age"	"Census"
"LC1301EW"	"Household composition by number of people in household with a long-term health problem or disability"	"Census"
"LC1401EW"	"Household composition by car or van availability"	"Census"
"LC1402EW"	"Household composition by number of bedrooms"	"Census"
"LC1601EW"	"Family status by number of parents working by economic activity"	"Census"
"LC2101EW"	"Ethnic group by sex by age"	"Census"
"LC2102EW"	"National Identity by sex by age"	"Census"
"LC2103EW"	"Country of birth by sex by age"	"Census"
"LC2104EW"	"Main language by sex by age"	"Census"
"LC2105EW"	"Proficiency in English by age"	"Census"
"LC2106WA"	"Welsh language skills by sex by age"	"Census"
"LC2107EW"	"Religion by sex by age"	"Census"
"LC2108EW"	"Passports held by sex by age"	"Census"
"LC2109EWls"	"Ethnic group by age"	"Census"
"LC2110EWls"	"National identity by age"	"Census"
"LC2115WA"	"Family type by parents' ability to speak Welsh by age and ability to speak Welsh of dependent child"	"Census"
"LC2116EW"	"Ethnic group of dependent child by sex"	"Census"
"LC2120EW"	"Religion by accommodation type"	"Census"
"LC2121EW"	"Ethnic group by accommodation type"	"Census"
